category,created_at,description,forks,language,name,quality_score,stars,updated_at,url
Development & Scripting Tools,2015-02-13T03:29:15Z,Virtual machine templates for Windows written in legacy JSON and Batch Scripting/JScript,259,Ruby,boxcutter/windows-batch,0.446,770,2026-07-11T12:44:58Z,https://github.com/boxcutter/windows-batch
System Tweaks & Performance Enhancements,2024-06-30T12:22:45Z,.cmd script for enhancing Windows performance through optimized BCDEdit parameters.,4,Batchfile,dubbyOW/BCDEditTweaks,0.377,52,2026-08-31T11:25:37Z,https://github.com/dubbyOW/BCDEditTweaks
System Tweaks & Performance Enhancements,2022-02-10T10:02:10Z,"⚙️ Yet another (and ugly) debloat, optimizer and tweaker for Windows 11 based on group policies",4,Batchfile,SegoCode/DebloBat,0.339,51,2026-08-29T04:02:11Z,https://github.com/SegoCode/DebloBat
"Audio & Video Capture, Conversion & Playback",2017-01-08T21:14:16Z,Youtube video and audio downloader without any installation needed,14,Batchfile,Lettly/Youtube-Download-Batch,0.32,50,2026-08-05T08:45:16Z,https://github.com/Lettly/Youtube-Download-Batch
Uncategorized,2023-07-31T09:23:18Z,简单的批处理调用N_m3u8DL-RE进行下载，预设单个下载、批量下载、录播下载。,11,Batchfile,LennoC/N_m3u8DL-RE_SimpleBatGUI,0.32,50,2026-08-31T08:17:40Z,https://github.com/LennoC/N_m3u8DL-RE_SimpleBatGUI
File & Disk Utilities,2021-12-23T13:56:56Z,Simple batch files for simplifying basic usage of https://github.com/yt-dlp/yt-dlp (a fork of https://github.com/rg3/youtube-dl) Windows .exe releases,3,Batchfile,edinsuta/yt-dlp-batch,0.358,50,2026-07-19T03:58:44Z,https://github.com/edinsuta/yt-dlp-batch
